x,log2_Naive_2157A,log2_Naive_2157C,log2_Naive_2157B,log2_Memory_1962B,log2_Memory_1635B,log2_Memory_1655D,log2_DN_1655B,log2_DN_1962A,log2_DN_1716A,log2_SP_1716B,log2_SP_1944B,log2_SP_1655C,log2_DP_1635A,log2_DP_1944A,log2_DP_1655A,"anova_fdr_pvals min(anova_raw_vals,anova_log2_vals)","fold_change (min (max (mean_fc), max(median_fc))",rank_anova,rank_fc,ave_rankings,cluster
RPA1,11.8472,11.8178,11.72,11.7234,11.8216,11.7591,11.8819,11.9867,11.8983,11.6586,11.6882,11.6311,11.4365,11.5002,11.5994,0.008472604,1.317879545,931,3024,1977.5,4
RPA2,9.144,8.8078,8.829,9.3458,9.2113,8.8396,9.4883,9.1116,9.4061,10.1249,10.2441,10.1654,10.4473,10.3716,10.511,0.00266845,2.059381488,295,2388,1341.5,1
RPAP3,7.199,7.0973,6.9704,7.012,6.9256,6.5081,8.526,8.1443,8.127,7.6186,7.5456,7.1493,6.2571,5.9906,6.5189,0.005583233,3.734992012,650,724,687,6
RPGR,4.9962,4.5723,4.3923,4.809,4.8269,5.1284,4.3923,4.3923,4.6759,5.2659,5.5797,6.169,5.5633,5.5973,5.4583,0.024915521,2.341195324,1736,1775,1755.5,1
RPL31,9.98,10.0112,10.1033,10.5498,10.5771,10.6805,10.6911,10.7598,10.7845,9.7149,9.7612,9.8889,10.0343,10.0744,9.9791,0.000923357,1.940261811,62,2610,1336,5
RPP40,7.4091,7.1637,7.3518,8.0528,8.0969,7.8117,7.242,7.2055,7.478,7.0238,7.6194,7.0406,5.3354,5.2786,6.7362,0.062744631,2.594398498,2391,1441,1916,4
RPS6KC1,6.7703,6.3986,6.5263,6.2272,6.9834,6.9619,5.6267,5.9747,4.3923,7.3734,6.2901,6.6458,6.318,7.111,6.3708,0.126317395,2.047825804,2776,2423,2599.5,10
RRAGC,8.9343,8.778,8.6668,9.6177,9.6338,9.6763,9.7929,9.6569,9.7514,9.6047,9.6691,9.6189,10.1208,10.0007,10.1811,0.008103574,1.387152747,875,2978,1926.5,2
RRAGD,7.2708,7.0185,6.8805,7.1765,6.4583,4.3923,9.223,8.2127,8.0595,7.3373,4.3923,4.3923,4.3923,4.5984,4.3923,0.036104607,14.78320311,2031,49,1040,4
RRAS2,10.8157,10.985,10.8583,10.6694,10.0969,9.2336,11.4855,10.4813,10.7561,9.2828,8.5797,7.7762,8.4195,8.0202,7.8748,0.016143082,6.683386642,1417,249,833,4
